"ZEIT[H]" "K1186" "K1168" "K1115" "K1014" "K1000" "K1174" "K1170" "K1141" "K1106" "K1182" "K1156" "K1173" "K 586" "K 585" "K 460" "K 459"
 41439.729 136.918 136.408 135.473 135.032 135.018 136.572 136.444 135.837 135.393 136.860 136.122 136.511 143.138 137.787 137.241 135.614
 41439.750 136.924 136.412 135.477 135.035 135.022 136.576 136.448 135.841 135.397 136.865 136.126 136.515 143.138 137.787 137.241 135.616
 41439.771 136.941 136.424 135.484 135.039 135.025 136.589 136.460 135.851 135.404 136.879 136.137 136.528 143.138 137.787 137.241 135.621
 41439.792 136.962 136.441 135.494 135.042 135.028 136.607 136.477 135.864 135.413 136.897 136.152 136.545 143.138 137.787 137.241 135.628
 41439.812 136.983 136.459 135.504 135.046 135.032 136.625 136.495 135.878 135.421 136.916 136.168 136.564 143.138 137.787 137.241 135.637
 41439.833 137.005 136.477 135.514 135.049 135.035 136.644 136.513 135.892 135.429 136.936 136.185 136.582 143.138 137.787 137.241 135.645
 41439.854 137.026 136.495 135.524 135.053 135.038 136.663 136.531 135.906 135.437 136.955 136.201 136.601 143.138 137.787 137.241 135.654
 41439.875 137.040 136.508 135.531 135.053 135.038 136.677 136.545 135.917 135.443 136.968 136.213 136.614 143.138 137.787 137.241 135.661
 41439.896 137.043 136.513 135.533 135.050 135.035 136.682 136.550 135.921 135.444 136.972 136.218 136.619 143.138 137.787 137.241 135.666
 41439.917 137.041 136.513 135.531 135.047 135.032 136.681 136.549 135.920 135.441 136.971 136.217 136.619 143.138 137.787 137.241 135.666
 41439.937 137.038 136.509 135.527 135.043 135.028 136.678 136.546 135.916 135.437 136.968 136.214 136.616 143.138 137.787 137.241 135.663
 41439.958 137.034 136.505 135.523 135.040 135.025 136.674 136.542 135.912 135.434 136.964 136.210 136.611 143.138 137.787 137.241 135.659
 41439.979 137.030 136.501 135.519 135.037 135.022 136.670 136.538 135.908 135.430 136.960 136.205 136.607 143.138 137.787 137.241 135.656
 41440.000 137.025 136.496 135.515 135.034 135.019 136.665 136.533 135.903 135.427 136.956 136.201 136.603 143.138 137.787 137.241 135.653
 41440.021 137.020 136.492 135.512 135.032 135.018 136.660 136.529 135.899 135.424 136.951 136.196 136.598 143.138 137.787 137.241 135.650
 41440.042 137.015 136.487 135.508 135.031 135.016 136.656 136.524 135.895 135.421 136.947 136.192 136.593 143.138 137.787 137.241 135.647
 41440.062 137.011 136.483 135.506 135.029 135.014 136.651 136.520 135.891 135.419 136.942 136.188 136.589 143.138 137.787 137.241 135.645
 41440.083 137.006 136.479 135.503 135.027 135.012 136.647 136.516 135.888 135.416 136.938 136.184 136.585 143.138 137.787 137.241 135.642
 41440.104 137.001 136.475 135.500 135.026 135.011 136.643 136.511 135.884 135.414 136.934 136.180 136.580 143.138 137.787 137.241 135.640
 41440.125 136.996 136.470 135.497 135.025 135.010 136.638 136.507 135.881 135.411 136.929 136.176 136.576 143.138 137.787 137.241 135.638
 41440.146 136.991 136.466 135.495 135.025 135.010 136.633 136.502 135.877 135.409 136.924 136.172 136.571 143.138 137.787 137.241 135.635
 41440.167 136.985 136.461 135.493 135.025 135.010 136.629 136.498 135.874 135.408 136.919 136.168 136.567 143.138 137.787 137.241 135.633
 41440.187 136.980 136.457 135.491 135.024 135.010 136.624 136.493 135.870 135.406 136.915 136.164 136.562 143.138 137.787 137.241 135.632
 41440.208 136.975 136.453 135.489 135.024 135.010 136.620 136.489 135.867 135.405 136.910 136.161 136.558 143.138 137.787 137.241 135.630
 41440.229 136.970 136.449 135.487 135.024 135.010 136.615 136.485 135.864 135.403 136.905 136.157 136.553 143.138 137.787 137.241 135.628
 41440.250 136.960 136.442 135.484 135.024 135.009 136.608 136.478 135.860 135.401 136.897 136.151 136.546 143.138 137.787 137.241 135.627
 41440.271 136.943 136.430 135.478 135.022 135.008 136.595 136.466 135.851 135.396 136.883 136.141 136.534 143.138 137.787 137.241 135.623
 41440.292 136.924 136.415 135.470 135.020 135.006 136.579 136.451 135.840 135.388 136.866 136.128 136.518 143.138 137.787 137.241 135.617
 41440.312 136.904 136.398 135.461 135.019 135.004 136.561 136.434 135.827 135.381 136.848 136.113 136.501 143.138 137.787 137.241 135.610
 41440.333 136.883 136.381 135.452 135.018 135.003 136.543 136.417 135.814 135.373 136.829 136.097 136.483 143.138 137.787 137.241 135.602
 41440.354 136.863 136.365 135.443 135.017 135.001 136.525 136.400 135.801 135.366 136.811 136.082 136.466 143.138 137.787 137.241 135.595
 41440.375 136.850 136.352 135.437 135.017 135.001 136.513 136.387 135.791 135.361 136.799 136.071 136.453 143.138 137.787 137.241 135.588
 41440.396 136.847 136.347 135.434 135.018 135.003 136.508 136.382 135.786 135.359 136.795 136.066 136.448 143.138 137.787 137.241 135.584
 41440.417 136.847 136.346 135.434 135.018 135.004 136.507 136.381 135.786 135.360 136.795 136.065 136.447 143.138 137.787 137.241 135.583
 41440.437 136.848 136.348 135.436 135.019 135.006 136.509 136.383 135.788 135.361 136.796 136.067 136.449 143.138 137.787 137.241 135.584
 41440.458 136.851 136.350 135.438 135.021 135.008 136.511 136.385 135.790 135.363 136.798 136.069 136.451 143.138 137.787 137.241 135.585
 41440.479 136.853 136.353 135.441 135.022 135.009 136.513 136.388 135.793 135.366 136.801 136.072 136.453 143.138 137.787 137.241 135.587
 41440.500 136.856 136.356 135.443 135.023 135.010 136.516 136.390 135.796 135.368 136.804 136.075 136.456 143.138 137.787 137.241 135.589
 41440.521 136.859 136.359 135.445 135.023 135.010 136.519 136.393 135.798 135.370 136.807 136.078 136.459 143.138 137.787 137.241 135.591
 41440.542 136.862 136.361 135.447 135.023 135.010 136.522 136.396 135.801 135.371 136.809 136.080 136.462 143.138 137.787 137.241 135.593
 41440.562 136.865 136.363 135.448 135.023 135.010 136.525 136.398 135.802 135.372 136.812 136.082 136.465 143.138 137.787 137.241 135.594
 41440.583 136.868 136.366 135.449 135.023 135.010 136.527 136.401 135.804 135.372 136.814 136.084 136.467 143.138 137.787 137.241 135.594
 41440.604 136.870 136.368 135.449 135.023 135.010 136.529 136.403 135.805 135.373 136.816 136.085 136.469 143.138 137.787 137.241 135.595
 41440.625 136.870 136.368 135.451 135.026 135.012 136.529 136.403 135.806 135.374 136.817 136.086 136.469 143.138 137.787 137.241 135.596
 41440.646 136.867 136.367 135.453 135.031 135.018 136.528 136.402 135.807 135.377 136.815 136.086 136.468 143.138 137.787 137.241 135.597
 41440.667 136.865 136.367 135.457 135.035 135.022 136.527 136.402 135.809 135.381 136.813 136.087 136.467 143.138 137.787 137.241 135.599
 41440.687 136.863 136.367 135.461 135.040 135.027 136.527 136.402 135.811 135.385 136.811 136.088 136.467 143.138 137.787 137.241 135.603
 41440.708 136.861 136.368 135.466 135.045 135.033 136.527 136.402 135.814 135.390 136.810 136.090 136.467 143.138 137.787 137.241 135.606
 41440.729 136.860 136.368 135.470 135.050 135.038 136.527 136.403 135.817 135.394 136.809 136.091 136.468 143.138 137.787 137.241 135.609
 41440.750 136.858 136.368 135.473 135.050 135.037 136.527 136.403 135.819 135.397 136.808 136.093 136.468 143.138 137.787 137.241 135.612
 41440.771 136.855 136.367 135.470 135.044 135.030 136.525 136.401 135.818 135.394 136.806 136.091 136.466 143.138 137.787 137.241 135.613
 41440.792 136.850 136.362 135.463 135.037 135.023 136.520 136.396 135.812 135.387 136.801 136.086 136.461 143.138 137.787 137.241 135.609
 41440.812 136.843 136.354 135.454 135.030 135.017 136.512 136.388 135.803 135.378 136.794 136.078 136.453 143.138 137.787 137.241 135.603
 41440.833 136.834 136.345 135.444 135.023 135.010 136.503 136.380 135.793 135.369 136.786 136.068 136.444 143.138 137.787 137.241 135.595
 41440.854 136.826 136.336 135.434 135.018 135.003 136.494 136.370 135.783 135.360 136.778 136.058 136.435 143.138 137.787 137.241 135.587
 41440.875 136.818 136.327 135.426 135.017 135.003 136.485 136.361 135.774 135.353 136.770 136.049 136.426 143.138 137.787 137.241 135.580
 41440.896 136.813 136.321 135.423 135.021 135.008 136.480 136.355 135.769 135.351 136.765 136.043 136.420 143.138 137.787 137.241 135.575
 41440.917 136.811 136.319 135.426 135.025 135.012 136.477 136.353 135.768 135.354 136.763 136.042 136.418 143.138 137.787 137.241 135.574
 41440.937 136.810 136.320 135.431 135.030 135.018 136.478 136.354 135.772 135.359 136.763 136.044 136.419 143.138 137.787 137.241 135.577
 41440.958 136.811 136.322 135.437 135.035 135.022 136.480 136.357 135.777 135.365 136.764 136.048 136.421 143.138 137.787 137.241 135.581
 41440.979 136.813 136.326 135.443 135.040 135.027 136.483 136.360 135.782 135.371 136.766 136.052 136.424 143.138 137.787 137.241 135.586
 41441.000 136.812 136.327 135.447 135.041 135.028 136.484 136.361 135.786 135.375 136.766 136.055 136.425 143.138 137.787 137.241 135.591
 41441.021 136.807 136.326 135.447 135.038 135.025 136.481 136.359 135.785 135.374 136.762 136.054 136.423 143.138 137.787 137.241 135.593
 41441.042 136.799 136.320 135.442 135.034 135.022 136.475 136.353 135.780 135.369 136.755 136.048 136.417 143.138 137.787 137.241 135.590
 41441.062 136.790 136.311 135.435 135.031 135.018 136.466 136.345 135.772 135.363 136.747 136.040 136.408 143.138 137.787 137.241 135.585
 41441.083 136.779 136.301 135.427 135.028 135.015 136.456 136.335 135.763 135.356 136.737 136.031 136.399 143.138 137.787 137.241 135.579
 41441.104 136.768 136.291 135.420 135.024 135.012 136.446 136.325 135.754 135.349 136.727 136.021 136.388 143.138 137.787 137.241 135.573
 41441.125 136.769 136.288 135.414 135.023 135.011 136.443 136.321 135.749 135.345 136.726 136.016 136.385 143.138 137.787 137.241 135.568
 41441.146 136.784 136.296 135.416 135.025 135.012 136.452 136.330 135.753 135.347 136.738 136.022 136.394 143.138 137.787 137.241 135.566
 41441.167 136.805 136.311 135.425 135.027 135.014 136.469 136.345 135.764 135.354 136.757 136.036 136.410 143.138 137.787 137.241 135.570
 41441.187 136.829 136.330 135.436 135.029 135.016 136.490 136.365 135.779 135.364 136.778 136.053 136.430 143.138 137.787 137.241 135.578
 41441.208 136.853 136.351 135.447 135.031 135.018 136.512 136.386 135.795 135.373 136.800 136.072 136.452 143.138 137.787 137.241 135.588
 41441.229 136.878 136.372 135.458 135.033 135.019 136.534 136.407 135.811 135.382 136.822 136.090 136.473 143.138 137.787 137.241 135.597
 41441.250 136.892 136.386 135.467 135.037 135.023 136.548 136.421 135.823 135.390 136.835 136.104 136.488 143.138 137.787 137.241 135.606
 41441.271 136.890 136.390 135.474 135.043 135.030 136.551 136.425 135.829 135.396 136.836 136.109 136.491 143.138 137.787 137.241 135.613
 41441.292 136.885 136.388 135.478 135.050 135.037 136.549 136.423 135.831 135.400 136.832 136.109 136.489 143.138 137.787 137.241 135.617
 41441.312 136.878 136.385 135.481 135.056 135.043 136.545 136.420 135.832 135.404 136.827 136.108 136.485 143.138 137.787 137.241 135.619
 41441.333 136.872 136.382 135.484 135.063 135.050 136.541 136.417 135.832 135.407 136.821 136.106 136.482 143.138 137.787 137.241 135.621
 41441.354 136.865 136.379 135.486 135.069 135.057 136.536 136.413 135.832 135.410 136.816 136.104 136.477 143.138 137.787 137.241 135.623
 41441.375 136.857 136.374 135.487 135.066 135.053 136.531 136.408 135.831 135.410 136.809 136.101 136.472 143.138 137.787 137.241 135.625
 41441.396 136.846 136.366 135.480 135.054 135.040 136.522 136.400 135.824 135.403 136.800 136.094 136.464 143.138 137.787 137.241 135.622
 41441.417 136.832 136.353 135.465 135.040 135.027 136.509 136.387 135.810 135.389 136.787 136.081 136.451 143.138 137.787 137.241 135.614
 41441.437 136.815 136.336 135.448 135.027 135.013 136.492 136.370 135.792 135.373 136.771 136.063 136.434 143.138 137.787 137.241 135.601
 41441.458 136.796 136.317 135.428 135.015 135.000 136.473 136.351 135.772 135.354 136.753 136.043 136.415 143.138 137.787 137.241 135.586
 41441.479 136.777 136.296 135.407 135.004 134.987 136.452 136.330 135.750 135.335 136.734 136.022 136.394 143.138 137.787 137.241 135.571
 41441.500 136.759 136.276 135.391 135.003 134.985 136.433 136.310 135.731 135.321 136.717 136.002 136.374 143.138 137.787 137.241 135.555
 41441.521 136.746 136.263 135.385 135.011 134.995 136.419 136.296 135.720 135.317 136.704 135.989 136.360 143.138 137.787 137.241 135.545
 41441.542 136.738 136.256 135.387 135.018 135.005 136.411 136.289 135.717 135.320 136.697 135.984 136.353 143.138 137.787 137.241 135.543
 41441.562 136.733 136.254 135.394 135.026 135.015 136.408 136.287 135.720 135.328 136.693 135.985 136.351 143.138 137.787 137.241 135.546
 41441.583 136.731 136.256 135.405 135.036 135.025 136.409 136.289 135.727 135.339 136.692 135.989 136.352 143.138 137.787 137.241 135.553
 41441.604 136.730 136.260 135.417 135.046 135.035 136.412 136.293 135.737 135.351 136.692 135.995 136.355 143.138 137.787 137.241 135.562
 41441.625 136.735 136.267 135.427 135.050 135.038 136.418 136.299 135.746 135.361 136.697 136.004 136.361 143.138 137.787 137.241 135.571
 41441.646 136.742 136.275 135.433 135.047 135.035 136.426 136.307 135.754 135.365 136.704 136.011 136.370 143.138 137.787 137.241 135.577
 41441.667 136.749 136.280 135.433 135.044 135.032 136.432 136.313 135.757 135.364 136.710 136.016 136.375 143.138 137.787 137.241 135.579
 41441.687 136.753 136.283 135.431 135.041 135.028 136.435 136.316 135.757 135.362 136.714 136.018 136.378 143.138 137.787 137.241 135.579
 41441.708 136.756 136.284 135.428 135.037 135.025 136.437 136.317 135.756 135.359 136.717 136.018 136.380 143.138 137.787 137.241 135.577
 41441.729 136.759 136.285 135.426 135.034 135.022 136.439 136.319 135.755 135.356 136.719 136.018 136.381 143.138 137.787 137.241 135.575
 41441.750 136.761 136.285 135.424 135.033 135.021 136.439 136.319 135.753 135.354 136.720 136.017 136.382 143.138 137.787 137.241 135.573
 41441.771 136.760 136.285 135.423 135.035 135.022 136.438 136.318 135.752 135.354 136.719 136.016 136.381 143.138 137.787 137.241 135.572
 41441.792 136.759 136.284 135.424 135.036 135.024 136.438 136.317 135.752 135.355 136.719 136.016 136.380 143.138 137.787 137.241 135.572
 41441.812 136.759 136.285 135.426 135.038 135.026 136.438 136.318 135.754 135.357 136.719 136.017 136.381 143.138 137.787 137.241 135.573
 41441.833 136.760 136.286 135.428 135.040 135.027 136.439 136.319 135.755 135.359 136.719 136.018 136.382 143.138 137.787 137.241 135.575
 41441.854 136.760 136.287 135.430 135.041 135.029 136.440 136.320 135.757 135.361 136.720 136.020 136.383 143.138 137.787 137.241 135.576
 41441.875 136.761 136.288 135.431 135.040 135.027 136.441 136.321 135.758 135.361 136.720 136.021 136.384 143.138 137.787 137.241 135.578
 41441.896 136.760 136.287 135.429 135.035 135.022 136.440 136.320 135.757 135.359 136.720 136.020 136.383 143.138 137.787 137.241 135.578
 41441.917 136.758 136.285 135.423 135.030 135.018 136.438 136.318 135.753 135.354 136.718 136.017 136.381 143.138 137.787 137.241 135.575
 41441.937 136.754 136.280 135.417 135.025 135.012 136.434 136.313 135.747 135.347 136.714 136.012 136.376 143.138 137.787 137.241 135.570
 41441.958 136.750 136.275 135.409 135.020 135.008 136.429 136.308 135.741 135.340 136.710 136.006 136.371 143.138 137.787 137.241 135.565
 41441.979 136.745 136.269 135.402 135.017 135.003 136.423 136.302 135.733 135.333 136.705 135.999 136.365 143.138 137.787 137.241 135.559
 41442.000 136.733 136.259 135.394 135.017 135.003 136.413 136.292 135.724 135.326 136.695 135.989 136.355 143.138 137.787 137.241 135.553
 41442.021 136.713 136.243 135.388 135.020 135.008 136.396 136.276 135.713 135.321 136.677 135.976 136.339 143.138 137.787 137.241 135.547
 41442.042 136.691 136.227 135.384 135.024 135.012 136.378 136.259 135.703 135.319 136.657 135.962 136.321 143.138 137.787 137.241 135.543
 41442.062 136.671 136.212 135.382 135.029 135.018 136.361 136.244 135.695 135.319 136.639 135.951 136.305 143.138 137.787 137.241 135.540
 41442.083 136.651 136.198 135.382 135.033 135.022 136.346 136.230 135.689 135.320 136.622 135.941 136.290 143.138 137.787 137.241 135.538
 41442.104 136.632 136.186 135.382 135.038 135.027 136.332 136.217 135.684 135.321 136.606 135.931 136.277 143.138 137.787 137.241 135.538
 41442.125 136.631 136.183 135.383 135.037 135.026 136.329 136.214 135.683 135.322 136.604 135.929 136.274 143.138 137.787 137.241 135.538
 41442.146 136.649 136.193 135.384 135.029 135.018 136.341 136.225 135.689 135.322 136.619 135.937 136.285 143.138 137.787 137.241 135.538
 41442.167 136.671 136.208 135.384 135.021 135.009 136.357 136.240 135.695 135.320 136.638 135.948 136.301 143.138 137.787 137.241 135.539
 41442.187 136.692 136.222 135.381 135.015 135.001 136.373 136.254 135.700 135.316 136.656 135.958 136.316 143.138 137.787 137.241 135.539
 41442.208 136.712 136.234 135.379 135.009 134.992 136.388 136.267 135.704 135.313 136.673 135.966 136.330 143.138 137.787 137.241 135.538
 41442.229 136.733 136.247 135.378 135.002 134.984 136.403 136.281 135.709 135.311 136.691 135.975 136.344 143.138 137.787 137.241 135.537
 41442.250 136.745 136.257 135.381 135.006 134.988 136.413 136.290 135.714 135.314 136.702 135.983 136.354 143.138 137.787 137.241 135.538
 41442.271 136.748 136.261 135.389 135.019 135.005 136.418 136.295 135.720 135.322 136.705 135.988 136.359 143.138 137.787 137.241 135.542
 41442.292 136.751 136.268 135.403 135.033 135.022 136.423 136.301 135.731 135.336 136.709 135.996 136.365 143.138 137.787 137.241 135.550
 41442.312 136.758 136.278 135.422 135.050 135.038 136.432 136.311 135.746 135.355 136.716 136.009 136.374 143.138 137.787 137.241 135.563
 41442.333 136.766 136.291 135.443 135.066 135.055 136.445 136.324 135.765 135.376 136.725 136.025 136.387 143.138 137.787 137.241 135.579
 41442.354 136.776 136.305 135.462 135.083 135.072 136.458 136.338 135.783 135.394 136.735 136.041 136.400 143.138 137.787 137.241 135.595
 41442.375 136.785 136.318 135.475 135.084 135.072 136.470 136.351 135.798 135.405 136.745 136.055 136.413 143.138 137.787 137.241 135.609
 41442.396 136.793 136.326 135.475 135.068 135.055 136.478 136.359 135.803 135.403 136.752 136.062 136.421 143.138 137.787 137.241 135.615
 41442.417 136.795 136.326 135.464 135.052 135.038 136.479 136.359 135.797 135.390 136.754 136.060 136.422 143.138 137.787 137.241 135.610
 41442.437 136.792 136.319 135.449 135.035 135.022 136.473 136.353 135.785 135.375 136.751 136.051 136.416 143.138 137.787 137.241 135.600
 41442.458 136.788 136.310 135.431 135.020 135.005 136.465 136.344 135.771 135.358 136.745 136.039 136.407 143.138 137.787 137.241 135.587
 41442.479 136.782 136.300 135.412 135.006 134.988 136.456 136.333 135.755 135.340 136.739 136.026 136.398 143.138 137.787 137.241 135.573
 41442.500 136.769 136.285 135.397 135.003 134.985 136.442 136.319 135.738 135.326 136.726 136.010 136.383 143.138 137.787 137.241 135.559
 41442.521 136.750 136.268 135.389 135.011 134.995 136.424 136.302 135.725 135.320 136.709 135.995 136.366 143.138 137.787 137.241 135.549
 41442.542 136.732 136.254 135.387 135.018 135.005 136.409 136.288 135.717 135.320 136.693 135.983 136.351 143.138 137.787 137.241 135.545
 41442.562 136.718 136.244 135.390 135.026 135.015 136.397 136.277 135.714 135.324 136.680 135.976 136.340 143.138 137.787 137.241 135.545
 41442.583 136.705 136.238 135.397 135.036 135.025 136.389 136.270 135.715 135.332 136.670 135.973 136.332 143.138 137.787 137.241 135.548
 41442.604 136.694 136.233 135.406 135.046 135.035 136.383 136.266 135.718 135.342 136.661 135.973 136.327 143.138 137.787 137.241 135.553
 41442.625 136.690 136.233 135.412 135.045 135.033 136.382 136.265 135.722 135.347 136.658 135.975 136.326 143.138 137.787 137.241 135.559
 41442.646 136.691 136.234 135.409 135.033 135.020 136.382 136.266 135.722 135.343 136.658 135.975 136.327 143.138 137.787 137.241 135.562
 41442.667 136.688 136.230 135.396 135.020 135.007 136.379 136.262 135.714 135.330 136.656 135.969 136.323 143.138 137.787 137.241 135.556
 41442.687 136.682 136.220 135.378 135.008 134.993 136.370 136.252 135.699 135.312 136.649 135.957 136.314 143.138 137.787 137.241 135.545
 41442.708 136.673 136.207 135.361 134.997 134.980 136.358 136.240 135.682 135.296 136.640 135.942 136.301 143.138 137.787 137.241 135.531
 41442.729 136.664 136.195 135.345 134.984 134.967 136.346 136.227 135.667 135.281 136.631 135.929 136.290 143.138 137.787 137.241 135.518
 41442.750 136.662 136.188 135.335 134.980 134.964 136.340 136.221 135.657 135.271 136.628 135.920 136.283 143.138 137.787 137.241 135.508
 41442.771 136.670 136.190 135.336 134.988 134.973 136.344 136.223 135.657 135.273 136.634 135.920 136.286 143.138 137.787 137.241 135.502
 41442.792 136.684 136.201 135.346 134.997 134.981 136.355 136.234 135.667 135.283 136.646 135.931 136.297 143.138 137.787 137.241 135.506
 41442.812 136.703 136.217 135.360 135.006 134.989 136.372 136.251 135.683 135.297 136.662 135.947 136.314 143.138 137.787 137.241 135.516
 41442.833 136.722 136.236 135.374 135.013 134.997 136.391 136.269 135.699 135.309 136.681 135.965 136.333 143.138 137.787 137.241 135.527
 41442.854 136.742 136.254 135.388 135.019 135.006 136.410 136.288 135.716 135.322 136.699 135.983 136.352 143.138 137.787 137.241 135.538
 41442.875 136.758 136.271 135.403 135.025 135.013 136.427 136.304 135.732 135.336 136.714 135.999 136.368 143.138 137.787 137.241 135.550
 41442.896 136.768 136.284 135.416 135.032 135.020 136.439 136.317 135.746 135.348 136.724 136.012 136.381 143.138 137.787 137.241 135.561
 41442.917 136.776 136.294 135.428 135.039 135.027 136.449 136.328 135.758 135.358 136.733 136.024 136.391 143.138 137.787 137.241 135.571
 41442.937 136.784 136.303 135.437 135.045 135.033 136.458 136.337 135.768 135.368 136.740 136.033 136.400 143.138 137.787 137.241 135.580
 41442.958 136.791 136.312 135.446 135.052 135.040 136.467 136.345 135.777 135.376 136.747 136.042 136.409 143.138 137.787 137.241 135.587
 41442.979 136.798 136.320 135.455 135.059 135.047 136.474 136.353 135.786 135.384 136.754 136.051 136.416 143.138 137.787 137.241 135.594
 41443.000 136.806 136.328 135.462 135.059 135.047 136.482 136.361 135.794 135.390 136.761 136.059 136.424 143.138 137.787 137.241 135.601
 41443.021 136.814 136.335 135.464 135.053 135.040 136.490 136.369 135.799 135.391 136.769 136.065 136.432 143.138 137.787 137.241 135.605
 41443.042 136.820 136.339 135.461 135.046 135.033 136.495 136.373 135.800 135.387 136.775 136.068 136.437 143.138 137.787 137.241 135.605
 41443.062 136.825 136.341 135.456 135.040 135.027 136.498 136.375 135.798 135.382 136.778 136.068 136.439 143.138 137.787 137.241 135.602
 41443.083 136.829 136.342 135.451 135.033 135.020 136.499 136.376 135.795 135.377 136.781 136.067 136.440 143.138 137.787 137.241 135.598
 41443.104 136.832 136.342 135.446 135.027 135.013 136.500 136.376 135.792 135.371 136.783 136.066 136.441 143.138 137.787 137.241 135.594
 41443.125 136.832 136.340 135.440 135.025 135.012 136.499 136.375 135.788 135.366 136.783 136.063 136.440 143.138 137.787 137.241 135.589
 41443.146 136.830 136.337 135.438 135.028 135.015 136.496 136.372 135.785 135.365 136.781 136.060 136.437 143.138 137.787 137.241 135.586
 41443.167 136.828 136.336 135.440 135.031 135.018 136.495 136.370 135.785 135.367 136.779 136.059 136.435 143.138 137.787 137.241 135.586
 41443.187 136.828 136.337 135.444 135.034 135.022 136.495 136.371 135.787 135.370 136.779 136.061 136.436 143.138 137.787 137.241 135.588
 41443.208 136.828 136.338 135.447 135.038 135.025 136.496 136.373 135.790 135.374 136.780 136.063 136.437 143.138 137.787 137.241 135.591
 41443.229 136.829 136.340 135.451 135.041 135.028 136.498 136.375 135.794 135.378 136.781 136.065 136.439 143.138 137.787 137.241 135.594
 41443.250 136.824 136.339 135.454 135.043 135.030 136.496 136.373 135.795 135.380 136.777 136.065 136.437 143.138 137.787 137.241 135.597
 41443.271 136.811 136.332 135.452 135.043 135.030 136.487 136.365 135.791 135.379 136.767 136.060 136.429 143.138 137.787 137.241 135.597
 41443.292 136.796 136.320 135.447 135.042 135.030 136.475 136.354 135.783 135.374 136.753 136.050 136.417 143.138 137.787 137.241 135.594
 41443.312 136.778 136.306 135.440 135.042 135.030 136.460 136.340 135.773 135.369 136.738 136.038 136.403 143.138 137.787 137.241 135.589
 41443.333 136.761 136.292 135.434 135.042 135.030 136.445 136.325 135.763 135.364 136.722 136.026 136.388 143.138 137.787 137.241 135.584
 41443.354 136.743 136.278 135.428 135.042 135.030 136.430 136.311 135.753 135.359 136.706 136.013 136.373 143.138 137.787 137.241 135.578
 41443.375 136.732 136.268 135.423 135.041 135.029 136.419 136.300 135.745 135.355 136.696 136.004 136.362 143.138 137.787 137.241 135.573
 41443.396 136.730 136.264 135.420 135.039 135.027 136.415 136.296 135.741 135.352 136.693 136.000 136.358 143.138 137.787 137.241 135.570
 41443.417 136.730 136.263 135.418 135.038 135.026 136.415 136.296 135.740 135.351 136.693 135.999 136.358 143.138 137.787 137.241 135.568
 41443.437 136.732 136.264 135.417 135.036 135.024 136.415 136.296 135.740 135.350 136.694 135.999 136.358 143.138 137.787 137.241 135.567
 41443.458 136.733 136.264 135.416 135.035 135.022 136.416 136.297 135.739 135.349 136.695 135.999 136.359 143.138 137.787 137.241 135.567
 41443.479 136.734 136.265 135.415 135.033 135.021 136.417 136.297 135.739 135.347 136.696 135.999 136.360 143.138 137.787 137.241 135.566
 41443.500 136.733 136.264 135.414 135.034 135.023 136.416 136.296 135.738 135.347 136.695 135.998 136.359 143.138 137.787 137.241 135.565
 41443.521 136.729 136.261 135.415 135.039 135.027 136.413 136.294 135.737 135.348 136.692 135.997 136.356 143.138 137.787 137.241 135.565
 41443.542 136.726 136.259 135.418 135.044 135.033 136.411 136.292 135.738 135.352 136.689 135.996 136.354 143.138 137.787 137.241 135.566
 41443.562 136.723 136.259 135.423 135.049 135.038 136.410 136.292 135.740 135.356 136.687 135.997 136.353 143.138 137.787 137.241 135.569
 41443.583 136.721 136.259 135.427 135.054 135.043 136.409 136.292 135.743 135.361 136.685 135.998 136.353 143.138 137.787 137.241 135.572
 41443.604 136.719 136.259 135.431 135.059 135.048 136.409 136.292 135.746 135.365 136.684 136.000 136.353 143.138 137.787 137.241 135.575
 41443.625 136.723 136.263 135.435 135.059 135.048 136.413 136.296 135.750 135.369 136.688 136.004 136.357 143.138 137.787 137.241 135.579
 41443.646 136.735 136.272 135.438 135.055 135.043 136.422 136.304 135.755 135.370 136.698 136.011 136.366 143.138 137.787 137.241 135.581
 41443.667 136.748 136.281 135.438 135.050 135.038 136.432 136.314 135.760 135.370 136.709 136.018 136.375 143.138 137.787 137.241 135.583
 41443.687 136.760 136.289 135.437 135.045 135.033 136.441 136.322 135.763 135.368 136.720 136.024 136.384 143.138 137.787 137.241 135.583
 41443.708 136.771 136.296 135.436 135.040 135.027 136.450 136.329 135.766 135.366 136.729 136.029 136.392 143.138 137.787 137.241 135.583
 41443.729 136.782 136.303 135.435 135.035 135.023 136.458 136.336 135.768 135.364 136.739 136.034 136.400 143.138 137.787 137.241 135.582
 41443.750 136.797 136.312 135.436 135.034 135.022 136.468 136.346 135.772 135.364 136.752 136.040 136.410 143.138 137.787 137.241 135.582
 41443.771 136.817 136.326 135.441 135.038 135.025 136.484 136.360 135.781 135.369 136.769 136.052 136.425 143.138 137.787 137.241 135.584
 41443.792 136.841 136.345 135.452 135.041 135.028 136.504 136.379 135.795 135.379 136.790 136.068 136.444 143.138 137.787 137.241 135.591
 41443.812 136.867 136.366 135.465 135.045 135.032 136.526 136.401 135.812 135.390 136.813 136.088 136.466 143.138 137.787 137.241 135.601
 41443.833 136.893 136.389 135.477 135.048 135.035 136.550 136.424 135.830 135.400 136.837 136.108 136.490 143.138 137.787 137.241 135.612
