 "ZEIT[h]" "ZRET  1" "ZRETO  1"
  127.333   140.600   140.600
  127.500   140.600   140.600
  127.667   140.600   140.600
  127.833   140.600   140.600
  128.000   140.600   140.600
  128.167   140.600   140.600
  128.333   140.600   140.600
  128.500   140.600   140.600
  128.667   140.600   140.600
  128.833   140.600   140.600
  129.000   140.600   140.600
  129.167   140.600   140.600
  129.333   140.600   140.600
  129.500   140.600   140.600
  129.667   140.600   140.600
  129.833   140.600   140.600
  130.000   140.600   140.600
  130.167   140.600   140.600
  130.333   140.600   140.600
  130.500   140.600   140.600
  130.667   140.600   140.600
  130.833   140.600   140.600
  131.000   140.600   140.600
  131.167   140.600   140.600
  131.333   140.600   140.600
  131.500   140.600   140.600
  131.667   140.600   140.600
  131.833   140.600   140.600
  132.000   140.600   140.600
  132.167   140.600   140.600
  132.333   140.600   140.600
  132.500   140.600   140.600
  132.667   140.600   140.600
  132.833   140.600   140.600
  133.000   140.600   140.600
  133.167   140.600   140.600
  133.333   140.600   140.600
  133.500   140.600   140.600
  133.667   140.600   140.600
  133.833   140.600   140.600
  134.000   140.600   140.600
  134.167   140.600   140.600
  134.333   140.600   140.600
  134.500   140.600   140.600
  134.667   140.600   140.600
  134.833   140.600   140.600
  135.000   140.600   140.600
  135.167   140.600   140.600
  135.333   140.600   140.600
  135.500   140.600   140.600
  135.667   140.600   140.600
  135.833   140.600   140.600
  136.000   140.600   140.600
  136.167   140.600   140.600
  136.333   140.600   140.600
  136.500   140.600   140.600
  136.667   140.600   140.600
  136.833   140.600   140.600
  137.000   140.600   140.600
  137.167   140.600   140.600
  137.333   140.600   140.600
  137.500   140.600   140.600
  137.667   140.600   140.600
  137.833   140.600   140.600
  138.000   140.600   140.600
  138.167   140.600   140.600
  138.333   140.600   140.600
  138.500   140.600   140.600
  138.667   140.600   140.600
  138.833   140.600   140.600
  139.000   140.600   140.600
  139.167   140.600   140.600
  139.333   140.600   140.600
  139.500   140.600   140.600
  139.667   140.600   140.600
  139.833   140.600   140.600
  140.000   140.600   140.600
  140.167   140.600   140.600
  140.333   140.600   140.600
  140.500   140.600   140.600
  140.667   140.600   140.600
  140.833   140.600   140.600
  141.000   140.600   140.600
  141.167   140.600   140.600
  141.333   140.600   140.600
  141.500   140.600   140.600
  141.667   140.600   140.600
  141.833   140.600   140.600
  142.000   140.600   140.600
