"IAB","ITYPE","WIDTH","HEIT","ZTR","ZTL","XL","ZO","RNI","DZERO","HZERO","QZERO","ZS","CKS","HR0","HR1","RNV1","HR2","RNV2","HR3","RNV3","HR4","RNV4","HR5","RNV5","HR6","RNV6","HR7","RNV7","SF","X","Y","ID","ZSHIFT"                                                                                     
905,5,0.00,5.00,0.00,0.00,28933.0,111.75,0.0400,2.829,114.579,26.650,2.92,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00080221,3473063.36,5446842.42,10488,0.00
575,4,0.00,5.00,0.00,0.00,28932.0,111.78,0.0400,2.796,114.576,26.650,3.21,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00086290,3473062.50,5446842.93,10488,0.00
904,5,0.00,5.00,0.00,0.00,28930.0,111.75,0.0400,2.821,114.574,26.650,3.15,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00088588,3473060.78,5446843.94,10488,0.00
903,5,0.00,5.00,0.00,0.00,28925.0,111.68,0.0400,2.883,114.566,26.650,2.89,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00096485,3473056.48,5446846.49,10488,0.00
902,5,0.00,5.00,0.00,0.00,28920.0,111.61,0.0400,2.944,114.558,26.650,2.80,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00110757,3473052.04,5446848.73,10488,0.00
574,4,0.00,5.00,0.00,0.00,28919.0,111.60,0.0400,2.956,114.556,26.650,3.37,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00114705,3473051.08,5446849.01,10488,0.00
901,5,0.00,5.00,0.00,0.00,28916.0,111.59,0.0400,2.964,114.554,26.650,2.69,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00113383,3473048.21,5446849.87,10488,0.00
9423,5,0.00,5.00,0.00,0.00,28885.0,111.49,0.0400,3.041,114.530,26.650,2.63,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00095408,3473019.57,5446861.69,10488,0.00
573,4,0.00,5.00,0.00,0.00,28864.0,111.42,0.0400,3.097,114.517,26.650,3.57,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00079306,3473001.40,5446872.15,10488,0.00
8423,5,0.00,5.00,0.00,0.00,28845.0,111.39,0.0400,3.122,114.508,26.650,2.63,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00069251,3472984.78,5446881.36,10488,0.00
