"  XL[KM]" "H[M+NN]"   "A[M2]"  "TWI[M]"  "DTW/DH"  "WPE[M]"  "RHY[M]"  "KNOTEN"
     2.200   127.057  2872.963   318.116     7.963   326.072     8.811      1221
     2.200   127.474  3006.545   321.661     8.488   330.003     9.111      1221
     2.200   127.892  3142.224   328.814    17.129   337.395     9.313      1221
     2.200   128.310  3280.654   333.430    11.054   342.346     9.583      1221
     2.200   128.727  3420.592   336.707     7.846   346.026     9.885      1221
     2.200   129.145  3561.866   339.883     7.606   349.618    10.188      1221
     2.200   129.562  3704.985   350.892    26.360   361.015    10.263      1221
     2.200   129.980  3857.434   379.256    67.922   389.665     9.899      1221
     2.200   130.398  4027.775   414.340    84.013   421.675     9.552      1221
     2.200   130.815  4200.961   415.086     1.786   426.338     9.854      1221
     2.200   131.233  4374.460   415.856     1.844   427.632    10.230      1221
     2.200   131.650  4548.299   416.630     1.855   428.946    10.603      1221
"  XL[KM]" "H[M+NN]"   "A[M2]"  "TWI[M]"  "DTW/DH"  "WPE[M]"  "RHY[M]"  "KNOTEN"
     2.098   116.908     2.163    14.872     0.000    14.890     0.145      1220
     2.098   117.206     8.817    29.317    26.815    29.359     0.300      1220
     2.098   117.505    21.442    56.285    90.432    56.381     0.380      1220
     2.098   117.803    43.002    90.962   116.283    91.106     0.472      1220
     2.098   118.101    74.670   113.598    75.902   113.771     0.656      1220
     2.098   118.399   109.580   119.104    18.465   119.326     0.918      1220
     2.098   118.697   145.473   121.506     8.055   121.803     1.194      1220
     2.098   118.996   182.005   123.466     6.572   123.852     1.470      1220
     2.098   119.294   220.989   147.088    79.212   147.581     1.497      1220
     2.098   119.592   271.042   192.996   153.941   193.620     1.400      1220
     2.098   119.890   337.292   247.766   183.663   248.555     1.357      1220
     2.098   120.189   411.656   250.917    10.568   251.932     1.634      1220
     2.098   120.487   486.929   253.873     9.911   255.127     1.909      1220
     2.098   120.785   563.065   256.737     9.604   258.236     2.180      1220
     2.098   121.083   640.046   259.543     9.410   261.294     2.450      1220
     2.098   121.381   717.867   262.377     9.502   264.378     2.715      1220
     2.098   121.680   796.539   265.251     9.638   267.501     2.978      1220
     2.098   121.978   876.068   268.114     9.601   270.612     3.237      1220
     2.098   122.276   956.450   270.977     9.601   273.722     3.494      1220
     2.098   122.574  1037.690   273.866     9.687   276.856     3.748      1220
     2.098   122.872  1119.791   276.756     9.692   279.990     3.999      1220
     2.098   123.171  1202.756   279.660     9.737   283.136     4.248      1220
     2.098   123.469  1286.596   282.626     9.946   286.341     4.493      1220
     2.098   123.767  1371.326   285.627    10.062   289.577     4.736      1220
     2.098   124.065  1456.952   288.635    10.090   292.821     4.976      1220
     2.098   124.364  1543.508   291.979    11.211   296.382     5.208      1220
     2.098   124.662  1631.128   295.676    12.398   300.281     5.432      1220
     2.098   124.960  1719.891   299.640    13.294   304.437     5.649      1220
     2.098   125.258  1809.825   303.361    12.476   308.358     5.869      1220
     2.098   125.556  1900.726   306.204     9.532   311.445     6.103      1220
     2.098   125.855  1992.415   308.671     8.276   314.192     6.341      1220
     2.098   126.153  2084.821   311.051     7.979   316.860     6.580      1220
     2.098   126.451  2177.930   313.384     7.823   319.488     6.817      1220
     2.098   126.749  2271.733   315.718     7.826   322.118     7.052      1220
     2.098   127.047  2366.234   318.062     7.861   324.756     7.286      1220
     2.098   127.346  2461.433   320.411     7.877   327.398     7.518      1220
     2.098   127.644  2557.428   323.478    10.284   330.695     7.733      1220
     2.098   127.942  2654.479   327.773    14.402   335.166     7.920      1220
     2.098   128.240  2752.987   332.590    16.154   340.142     8.094      1220
     2.098   128.539  2852.570   335.134     8.530   342.958     8.318      1220
     2.098   128.837  2952.865   337.500     7.934   345.609     8.544      1220
     2.098   129.135  3053.890   341.113    12.117   349.499     8.738      1220
     2.098   129.433  3157.216   351.860    36.037   360.465     8.759      1220
     2.098   129.731  3264.722   375.432    79.040   384.218     8.497      1220
     2.098   130.030  3381.336   404.642    97.951   409.393     8.259      1220
     2.098   130.328  3505.937   431.008    88.415   438.067     8.003      1220
     2.098   130.626  3634.607   431.742     2.462   441.077     8.240      1220
     2.098   130.924  3763.439   432.284     1.818   441.994     8.515      1220
     2.098   131.222  3892.439   432.883     2.007   442.961     8.787      1220
     2.098   131.521  4021.621   433.440     1.869   443.908     9.060      1220
