"TXLS","QGAM","QKRA","QWEH","QMIN","D-E"
41415.062,1479.05,1464.05,15,15,-35.95
41415.083,1466.42,1451.42,15,15,-48.58
41415.104,1454.46,1439.46,15,15,-60.54
41415.125,1446.99,1431.99,15,15,-68.01
41415.146,1445.97,1430.97,15,15,-69.03
41415.167,1449.35,1434.35,15,15,-65.65
41415.187,1454.74,1439.74,15,15,-60.26
41415.208,1459.29,1444.29,15,15,-55.71
41415.229,1463.14,1448.14,15,15,-51.86
41415.25,1466.48,1451.48,15,15,-48.52
41415.271,1468.97,1453.97,15,15,-46.03
41415.292,1470.4,1455.4,15,15,-44.6
41415.312,1471.38,1456.38,15,15,-43.62
41415.333,1472.63,1457.63,15,15,-42.37
41415.354,1474,1459,15,15,-41
41415.375,1477.69,1462.69,15,15,-37.31
41415.396,1485.84,1470.84,15,15,-29.16
41415.417,1496.54,1481.54,15,15,-18.46
41415.437,1509.63,1494.63,15,15,-5.3699999999999
41415.458,1523.53,1500,23.53,15,8.53
41415.479,1536.23,1500,36.23,15,21.23
41415.5,1539.08,1500,39.08,15,24.08
41415.521,1538.02,1500,38.02,15,23.02
41415.542,1540.51,1500,40.51,15,25.51
41415.562,1540.42,1500,40.42,15,25.42
41415.583,1540.91,1500,40.91,15,25.91
41415.604,1541.42,1500,41.42,15,26.42
41415.625,1557,1500,57,15,42
41415.646,1580.69,1500,80.69,15,65.69
41415.667,1591.9,1500,91.9,15,76.9
41415.687,1596.04,1500,96.04,15,81.04
41415.708,1597.62,1500,97.62,15,82.62
41415.729,1599.19,1500,99.19,15,84.19
41415.75,1603.07,1500,103.07,15,88.07
41415.771,1607.08,1500,107.08,15,92.08
41415.792,1607.16,1500,107.16,15,92.16
41415.812,1604.54,1500,104.54,15,89.54
41415.833,1602.91,1500,102.91,15,87.91
41415.854,1601.75,1500,101.75,15,86.75
41415.875,1593.59,1500,93.59,15,78.59
41415.896,1582.59,1500,82.59,15,67.59
41415.917,1576.65,1500,76.65,15,61.65
41415.937,1571.34,1500,71.34,15,56.34
41415.958,1565.5,1500,65.5,15,50.5
41415.979,1560.35,1500,60.35,15,45.35
41416,1567.92,1500,67.92,15,52.92
41416.021,1583.87,1500,83.87,15,68.87
41416.042,1592.3,1500,92.3,15,77.3
41416.062,1594.1,1500,94.1,15,79.1
41416.083,1591.11,1500,91.11,15,76.11
41416.104,1587.52,1500,87.52,15,72.52
41416.125,1579.59,1500,79.59,15,64.59
41416.146,1572.41,1500,72.41,15,57.41
41416.167,1571.38,1500,71.38,15,56.38
41416.187,1570.64,1500,70.64,15,55.64
41416.208,1569.34,1500,69.34,15,54.34
41416.229,1567.58,1500,67.58,15,52.58
41416.25,1568.13,1500,68.13,15,53.13
41416.271,1571.68,1500,71.68,15,56.68
41416.292,1575.81,1500,75.81,15,60.81
41416.312,1579.77,1500,79.77,15,64.77
41416.333,1583.38,1500,83.38,15,68.38
41416.354,1586.93,1500,86.93,15,71.93
41416.375,1590.51,1500,90.51,15,75.51
41416.396,1594.04,1500,94.04,15,79.04
41416.417,1597.47,1500,97.47,15,82.47
41416.437,1600.85,1500,100.85,15,85.85
41416.458,1604.24,1500,104.24,15,89.24
41416.479,1607.64,1500,107.64,15,92.64
41416.5,1610.88,1500,110.88,15,95.88
41416.521,1613.25,1500,113.25,15,98.25
41416.542,1614.52,1500,114.52,15,99.52
41416.562,1615.52,1500,115.52,15,100.52
41416.583,1616.69,1500,116.69,15,101.69
41416.604,1617.96,1500,117.96,15,102.96
41416.625,1617.7,1500,117.7,15,102.7
41416.646,1618.1,1500,118.1,15,103.1
41416.667,1621.59,1500,121.59,15,106.59
41416.687,1625.73,1500,125.73,15,110.73
41416.708,1629.71,1500,129.71,15,114.71
41416.729,1634.16,1500,134.16,15,119.16
41416.75,1638.7,1500,138.7,15,123.7
41416.771,1641.33,1500,141.33,15,126.33
41416.792,1641.08,1500,141.08,15,126.08
41416.812,1639.32,1500,139.32,15,124.32
41416.833,1637.33,1500,137.33,15,122.33
41416.854,1635.51,1500,135.51,15,120.51
41416.875,1639.33,1500,139.33,15,124.33
41416.896,1646.16,1500,146.16,15,131.16
41416.917,1649.1,1500,149.1,15,134.1
41416.937,1649.78,1500,149.78,15,134.78
41416.958,1649.42,1500,149.42,15,134.42
41416.979,1649.3,1500,149.3,15,134.3
41417,1646.55,1500,146.55,15,131.55
41417.021,1639.66,1500,139.66,15,124.66
41417.042,1633.95,1500,133.95,15,118.95
41417.062,1630.62,1500,130.62,15,115.62
41417.083,1627.14,1500,127.14,15,112.14
41417.104,1623.91,1500,123.91,15,108.91
41417.125,1616.67,1500,116.67,15,101.67
41417.146,1610.18,1500,110.18,15,95.18
41417.167,1608.72,1500,108.72,15,93.72
41417.187,1607.72,1500,107.72,15,92.72
41417.208,1607.04,1500,107.04,15,92.04
41417.229,1605.87,1500,105.87,15,90.87
41417.25,1611.6,1500,111.6,15,96.6
41417.271,1621.96,1500,121.96,15,106.96
41417.292,1627.94,1500,127.94,15,112.94
41417.312,1628.65,1500,128.65,15,113.65
41417.333,1626.13,1500,126.13,15,111.13
41417.354,1623.76,1500,123.76,15,108.76
41417.375,1616.88,1500,116.88,15,101.88
41417.396,1619.12,1500,119.12,15,104.12
41417.417,1637.17,1500,137.17,15,122.17
41417.437,1655.92,1500,155.92,15,140.92
41417.458,1674.89,1500,174.89,15,159.89
41417.479,1696.52,1500,196.52,15,181.52
41417.5,1727.04,1500,227.04,15,212.04
41417.521,1754.4,1500,254.4,15,239.4
41417.542,1764.51,1500,264.51,15,249.51
41417.562,1765.83,1500,265.83,15,250.83
41417.583,1764.12,1500,264.12,15,249.12
41417.604,1762.03,1500,262.03,15,247.03
41417.625,1759.7,1500,259.7,15,244.7
41417.646,1754.77,1500,254.77,15,239.77
41417.667,1746.73,1500,246.73,15,231.73
41417.687,1734.25,1500,234.25,15,219.25
41417.708,1713.01,1500,213.01,15,198.01
41417.729,1690.15,1500,190.15,15,175.15
41417.75,1672.59,1500,172.59,15,157.59
41417.771,1664.81,1500,164.81,15,149.81
41417.792,1667.82,1500,167.82,15,152.82
41417.812,1672.87,1500,172.87,15,157.87
41417.833,1675.76,1500,175.76,15,160.76
41417.854,1676.61,1500,176.61,15,161.61
41417.875,1684,1500,184,15,169
41417.896,1703.6,1500,203.6,15,188.6
41417.917,1731.35,1500,231.35,15,216.35
41417.937,1762.34,1500,262.34,15,247.34
41417.958,1793.32,1500,293.32,15,278.32
41417.979,1823.7,1500,323.7,15,308.7
41418,1850.12,1500,350.12,15,335.12
41418.021,1867.58,1500,367.58,15,352.58
41418.042,1876.04,1500,376.04,15,361.04
41418.062,1879.53,1500,379.53,15,364.53
41418.083,1881.57,1500,381.57,15,366.57
41418.104,1883.47,1500,383.47,15,368.47
41418.125,1883.04,1500,383.04,15,368.04
41418.146,1878.29,1500,378.29,15,363.29
41418.167,1870.2,1500,370.2,15,355.2
41418.187,1860.25,1500,360.25,15,345.25
41418.208,1849.79,1500,349.79,15,334.79
41418.229,1839.33,1500,339.33,15,324.33
41418.25,1832.49,1500,332.49,15,317.49
41418.271,1827.28,1500,327.28,15,312.28
41418.292,1819.22,1500,319.22,15,304.22
41418.312,1809.67,1500,309.67,15,294.67
41418.333,1799.45,1500,299.45,15,284.45
41418.354,1789.09,1500,289.09,15,274.09
41418.375,1774.18,1500,274.18,15,259.18
41418.396,1758.54,1500,258.54,15,243.54
41418.417,1751.23,1500,251.23,15,236.23
41418.437,1751.4,1500,251.4,15,236.4
41418.458,1755.67,1500,255.67,15,240.67
41418.479,1761.16,1500,261.16,15,246.16
41418.5,1772,1500,272,15,257
41418.521,1778.57,1500,278.57,15,263.57
41418.542,1770.15,1500,270.15,15,255.15
41418.562,1754.31,1500,254.31,15,239.31
41418.583,1736.19,1500,236.19,15,221.19
41418.604,1716.27,1500,216.27,15,201.27
41418.625,1685.03,1500,185.03,15,170.03
41418.646,1661.4,1500,161.4,15,146.4
41418.667,1661.72,1500,161.72,15,146.72
41418.687,1666.26,1500,166.26,15,151.26
41418.708,1667.64,1500,167.64,15,152.64
41418.729,1668.4,1500,168.4,15,153.4
41418.75,1666.17,1500,166.17,15,151.17
41418.771,1661.66,1500,161.66,15,146.66
41418.792,1657.99,1500,157.99,15,142.99
