"ZEIT[H]" "K1101" "K1077" "K1013" "K 936" "K 971" "K1107" "K5117" "K1134" "K1146" "K1153" "K1157" "K1166" "K1190"
 41409.562 1581.55 1583.04 1585.20  793.53 1585.85 1581.09 1580.23 1578.75 1577.56 1576.79 1576.31 1575.05   68.96
 41409.583 1574.05 1575.44 1577.45  785.71 1578.05 1573.61 1572.81 1571.43 1570.31 1569.59 1569.15 1567.97   62.35
 41409.604 1567.61 1568.71 1570.34  778.47 1570.84 1567.26 1566.64 1565.58 1564.75 1564.23 1563.90 1563.06   59.08
 41409.625 1563.86 1564.29 1564.94  772.72 1565.15 1563.73 1563.50 1563.16 1562.93 1562.80 1562.73 1562.57   61.95
 41409.646 1563.97 1563.57 1562.90  770.15 1562.70 1564.09 1564.32 1564.77 1565.16 1565.43 1565.61 1566.09   68.57
 41409.667 1567.28 1566.31 1564.76  771.64 1564.27 1567.57 1568.11 1569.04 1569.80 1570.29 1570.60 1571.43   75.48
 41409.687 1572.25 1571.11 1569.34  776.15 1568.80 1572.60 1573.23 1574.32 1575.20 1575.76 1576.10 1577.02   81.46
 41409.708 1577.68 1576.59 1574.97  781.84 1574.48 1578.02 1578.63 1579.70 1580.54 1581.09 1581.42 1582.31   86.58
 41409.729 1582.93 1581.95 1580.54  787.49 1580.12 1583.23 1583.79 1584.76 1585.53 1586.03 1586.34 1587.15   91.07
 41409.750 1587.96 1587.02 1585.70  792.69 1585.31 1588.25 1588.80 1589.75 1590.52 1591.02 1591.33 1592.15   96.16
 41409.771 1593.69 1592.52 1590.88  797.76 1590.40 1594.06 1594.75 1595.98 1597.00 1597.67 1598.09 1599.22  104.78
 41409.792 1601.34 1599.70 1597.31  803.90 1596.59 1601.85 1602.80 1604.49 1605.88 1606.79 1607.35 1608.88  116.42
 41409.812 1610.90 1608.90 1605.86  812.17 1604.93 1611.52 1612.67 1614.66 1616.27 1617.31 1617.95 1619.69  128.18
 41409.833 1621.47 1619.34 1616.13  822.36 1615.15 1622.12 1623.33 1625.41 1627.09 1628.16 1628.83 1630.61  139.34
 41409.854 1631.56 1629.70 1626.86  833.21 1625.98 1632.12 1633.15 1634.90 1636.29 1637.16 1637.70 1639.13  146.00
 41409.875 1638.39 1637.43 1635.90  842.73 1635.40 1638.68 1639.18 1639.98 1640.56 1640.91 1641.11 1641.62  143.83
 41409.896 1640.24 1640.34 1640.59  848.18 1640.68 1640.20 1640.14 1639.98 1639.81 1639.69 1639.60 1639.35  137.88
 41409.917 1638.64 1639.29 1640.47  848.49 1640.87 1638.46 1638.13 1637.58 1637.14 1636.86 1636.68 1636.21  133.88
 41409.937 1636.11 1636.72 1637.77  845.71 1638.11 1635.93 1635.61 1635.08 1634.67 1634.42 1634.26 1633.85  131.88
 41409.958 1633.83 1634.25 1634.88  842.63 1635.07 1633.70 1633.47 1633.08 1632.78 1632.59 1632.48 1632.17  130.70
 41409.979 1633.48 1633.31 1633.13  840.60 1633.10 1633.54 1633.68 1633.98 1634.27 1634.48 1634.62 1635.01  137.18
 41410.000 1638.17 1636.78 1634.77  841.53 1634.18 1638.61 1639.45 1640.98 1642.30 1643.18 1643.73 1645.27  153.14
 41410.021 1647.03 1645.02 1641.70  847.83 1640.64 1647.63 1648.72 1650.57 1652.04 1652.97 1653.55 1655.08  162.61
 41410.042 1654.01 1652.84 1650.75  857.30 1650.03 1654.34 1654.91 1655.79 1656.41 1656.77 1656.97 1657.48  159.62
 41410.062 1655.36 1655.59 1655.98  863.59 1656.08 1655.29 1655.13 1654.79 1654.46 1654.22 1654.05 1653.59  151.00
 41410.083 1651.07 1652.48 1654.77  863.18 1655.48 1650.65 1649.85 1648.44 1647.26 1646.48 1645.99 1644.65  137.84
 41410.104 1640.22 1643.00 1647.19  856.31 1648.45 1639.36 1637.75 1634.86 1632.44 1630.85 1629.85 1627.13  113.48
 41410.125 1620.93 1625.43 1632.23  842.36 1634.28 1619.54 1616.95 1612.36 1608.57 1606.09 1604.53 1600.34   79.64
 41410.146 1594.88 1600.52 1609.15  820.08 1611.81 1593.16 1589.99 1584.47 1580.02 1577.14 1575.36 1570.58   47.53
 41410.167 1565.99 1571.91 1580.73  791.68 1583.41 1564.17 1560.81 1555.01 1550.33 1547.33 1545.47 1540.51   23.98
 41410.187 1535.76 1541.75 1550.33  761.11 1552.87 1533.89 1530.43 1524.41 1519.55 1516.42 1514.48 1509.30   15.00
 41410.208 1504.57 1510.65 1519.18  729.89 1521.68 1502.65 1499.12 1492.95 1487.96 1484.76 1482.77 1477.46   15.00
 41410.229 1472.70 1478.88 1487.42  698.09 1489.89 1470.73 1467.10 1460.74 1455.58 1452.27 1450.21 1444.72   15.00
